book_name,book_rate,book_rate_number,book_narrator,book_time
90. The Locked Door,4.5 out of 5 stars,295 ratings,Narrated by: Leslie Howard,Length: 7 hrs and 25 mins
91. The Great Alone,4.5 out of 5 stars,"52,486 ratings",Narrated by: Julia Whelan,Length: 15 hrs and 3 mins
92. Never Lie,4.5 out of 5 stars,"11,867 ratings",Narrated by: Leslie Howard,Length: 7 hrs and 20 mins
93. Words of Radiance,5 out of 5 stars,"85,186 ratings","Narrated by: Michael Kramer, Kate Reading",Length: 48 hrs and 15 mins
94. What If You Are the Answer?,not_rated_yet,Not rated yet,Narrated by: Rachel Hollis,Length: 7 hrs and 49 mins
95. Main Street Millionaire,5 out of 5 stars,251 ratings,Narrated by: Codie Sanchez,Length: 6 hrs and 17 mins
96. The Serpent and the Wings of Night,4.5 out of 5 stars,"4,092 ratings",Narrated by: Amanda Leigh Cobb,Length: 15 hrs and 4 mins
97. From Here to the Great Unknown,5 out of 5 stars,"3,993 ratings","Narrated by: Riley Keough, Julia Roberts",Length: 5 hrs and 42 mins
98. Never Split the Difference,5 out of 5 stars,"64,488 ratings",Narrated by: Michael Kramer,Length: 8 hrs and 7 mins
99. The Ritual,4.5 out of 5 stars,"6,954 ratings","Narrated by: Aiden Snow, Meg Sylvan",Length: 16 hrs and 12 mins
100. 12 Rules for Life,4.5 out of 5 stars,"92,113 ratings",Narrated by: Jordan B. Peterson,Length: 15 hrs and 40 mins
